Country,Title,Artist,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Tempo
FINLANDE,abcdefu,GAYLE,2021-08-13,89,0.695,0.54,-5.692,0.0493,0.299,0,121.932
FINLANDE,Samma gamla vanliga - Remix,Cledos,2021-09-10,66,0.927,0.5,-10.523,0.158,0.23,0.00067,111.062
FINLANDE,Easy On Me,Adele,2021-11-19,89,0.604,0.366,-7.519,0.0282,0.578,0,141.981
FINLANDE,All I Want for Christmas Is You,Mariah Carey,1994-11-01,89,0.336,0.627,-7.463,0.0384,0.164,0,150.273
FINLANDE,Last Christmas,Wham!,1984-11-29,84,0.735,0.478,-12.472,0.0293,0.189,2.48e-06,107.682
FINLANDE,Snowman,Sia,2018-11-01,84,0.716,0.512,-6.257,0.0331,0.483,0,104.957
FINLANDE,Vauhti kiihtyy (feat. Matti ja Teppo),Portion Boys,2021-06-11,63,0.623,0.913,-4.388,0.0339,0.00373,0,95.05
FINLANDE,It's Beginning to Look a Lot like Christmas,Michael Bublé,2011-10-14,73,0.339,0.214,-11.714,0.0375,0.908,7.47e-06,94.775
FINLANDE,Shivers,Ed Sheeran,2021-10-29,93,0.788,0.859,-2.724,0.0856,0.281,0,141.02
FINLANDE,Oh My God,Adele,2021-11-19,91,0.534,0.725,-3.906,0.046,0.091,0,88.098
FINLANDE,Heat Waves,Glass Animals,2020-08-06,92,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,80.87
FINLANDE,STAY (with Justin Bieber),The Kid LAROI,2021-07-23,92,0.591,0.764,-5.484,0.0483,0.0383,0,169.928
FINLANDE,edamame (feat. Rich Brian),bbno$,2021-10-08,75,0.815,0.849,-4.704,0.114,0.0229,0.000176,106.035
FINLANDE,Joulun kanssas jaan (feat. Cantores Minores),Haloo Helsinki!,2017-11-30,50,0.467,0.538,-8.784,0.0318,0.0479,7.02e-05,188.012
FINLANDE,Hyväuskoinen,VIIVI,2021-11-04,60,0.593,0.483,-7.046,0.0335,0.211,0,132.672
FINLANDE,Parempaa (feat. JVG & william),MD$,2021-11-12,59,0.806,0.858,-5.096,0.0431,0.00202,0.00037,128.012
FINLANDE,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-09-17,90,0.741,0.691,-7.395,0.0672,0.0221,0,150.087
FINLANDE,Bad Habits,Ed Sheeran,2021-10-29,90,0.807,0.893,-3.745,0.0347,0.0451,2.79e-05,126.011
FINLANDE,Moth To A Flame (with The Weeknd),Swedish House Mafia,2021-10-22,93,0.542,0.659,-7.289,0.0389,0.00279,0,120.122
FINLANDE,Santa Tell Me,Ariana Grande,2014-11-24,85,0.525,0.621,-7.364,0.116,0.0489,0,191.9
FINLANDE,Pohjola,Olli Halonen,2021-05-14,56,0.632,0.829,-6.889,0.0372,0.0853,1.51e-06,104.084
FINLANDE,Tulkoon joulu,Suvi Teräsniska,2009-11-06,49,0.488,0.511,-6.011,0.0232,0.688,0,91.916
FINLANDE,Koditon,Etta,2021-11-26,44,0.551,0.756,-5.954,0.0505,0.0149,0,160.073
FINLANDE,Matkustaja (feat. Aksel Kankaanranta),AHTI,2021-09-17,60,0.583,0.673,-6.7,0.0286,0.0388,0.00147,139.995
FINLANDE,Jättiläinen (Vain elämää kausi 12),Suvi Teräsniska,2021-11-19,53,0.341,0.608,-9.31,0.0585,0.112,1.8e-06,177.489
FINLANDE,Toxic,BoyWithUke,2021-10-29,88,0.594,0.612,-6.627,0.363,0.835,0,179.629
FINLANDE,Reiviluola,Haloo Helsinki!,2021-09-10,60,0.642,0.633,-6.746,0.0418,0.000815,4.64e-05,135.008
FINLANDE,Cold Heart - PNAU Remix,Elton John,2021-10-22,86,0.795,0.8,-6.32,0.0309,0.0354,7.25e-05,116.032
FINLANDE,Where Are You Now,Lost Frequencies,2021-07-30,92,0.671,0.636,-8.117,0.103,0.515,0.000411,120.966
FINLANDE,Can I Get It,Adele,2021-11-19,88,0.703,0.68,-6.118,0.0431,0.0171,0,97.985
FINLANDE,Hento kuiskaus (feat. Faija & HesaÄijä) [Vain elämää kausi 12],Arttu Wiskari,2021-11-26,38,0.547,0.875,-6.513,0.0437,0.128,7.23e-05,174.054
FINLANDE,Aikuinen (feat. TIPPA),Mouhous,2021-11-26,45,0.758,0.622,-6.524,0.113,0.186,3.64e-06,97.992
FINLANDE,Fyfyy,Mäkki,2021-11-25,44,0.802,0.604,-5.642,0.0604,0.176,0,102.017
FINLANDE,Rivariunelmii (feat. Erika Vikman) [Vain elämää kausi 12],Arttu Wiskari,2021-11-19,52,0.604,0.822,-7.768,0.068,0.154,0,141.921
FINLANDE,"Levoton tyttö (feat. Evelina, Nelli Matula) [Vain elämää kausi 12]",ABREU,2021-10-15,60,0.707,0.722,-6.751,0.108,0.064,0.000362,95.012
FINLANDE,THATS WHAT I WANT,Lil Nas X,2021-09-17,94,0.737,0.846,-4.51,0.22,0.00614,0,87.981
FINLANDE,Rockin' Around The Christmas Tree,Brenda Lee,1964-10-19,85,0.589,0.472,-8.749,0.0502,0.614,0,67.196
FINLANDE,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,2021-10-28,93,0.728,0.783,-4.424,0.266,0.237,0,77.011
FINLANDE,Never Going Home,Kungs,2021-05-21,83,0.836,0.846,-4.673,0.0392,0.0907,0.047,122.042
FINLANDE,Muistuta mua (Vain elämää kausi 12),ABREU,2021-11-19,53,0.645,0.655,-8.253,0.172,0.0971,0,165.918
FINLANDE,The Motto,Tiësto,2021-11-04,85,0.754,0.763,-4.627,0.0435,0.0301,2.23e-05,117.953
FINLANDE,"Kynnet, kynnet (Vain elämää kausi 12)",Chisu,2021-11-26,37,0.595,0.663,-6.387,0.0438,0.0153,0.000777,92.982
FINLANDE,Shampoota,Lauri Haav,2021-11-26,43,0.581,0.789,-7.219,0.0272,0.000772,0.374,104.963
FINLANDE,Tulikärpäset,Haloo Helsinki!,2021-09-10,55,0.648,0.819,-4.657,0.0433,0.00312,0.000343,101.044
FINLANDE,Beggin',Måneskin,2017-12-08,94,0.714,0.8,-4.808,0.0504,0.127,0,134.002
FINLANDE,USA,VIIVI,2021-06-18,59,0.506,0.711,-5.247,0.0426,0.0616,0,138.994
FINLANDE,Sydämeeni joulun teen,Vesa-Matti Loiri,1988,45,0.175,0.334,-10.127,0.0326,0.795,0.161,169.511
FINLANDE,Super Q - Vain elämää kausi 12,Pyhimys,2021-11-26,37,0.784,0.634,-5.025,0.0921,0.00821,0.00312,101.97
FINLANDE,Joulumaa,Katri Helena,2006-10-30,47,0.55,0.275,-12.585,0.0373,0.73,0,146.074
FINLANDE,One Right Now (with The Weeknd),Post Malone,2021-11-05,92,0.687,0.781,-4.806,0.053,0.0361,0,97.014
