Country,Title,Artist,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Tempo
FRANCE,Time Time,Trei Degete,2021-11-15,77,0.715,0.799,-6.447,0.0433,0.0141,0.0035,128.925
FRANCE,Jour meilleur,Orelsan,2021-11-19,75,0.656,0.463,-10.93,0.0598,0.38,0,81.499
FRANCE,L'odeur de l'essence,Orelsan,2021-11-19,75,0.635,0.758,-8.079,0.153,0.0667,0,59.974
FRANCE,La Quête,Orelsan,2021-11-19,76,0.832,0.54,-8.667,0.397,0.36,0,120.105
FRANCE,Fixette - Bonus,Ziak,2021-11-11,72,0.866,0.694,-5.222,0.363,0.168,0,145.041
FRANCE,Du propre,Orelsan,2021-11-19,75,0.834,0.693,-8.281,0.294,0.0217,0,149.952
FRANCE,Easy On Me,Adele,2021-11-19,89,0.604,0.366,-7.519,0.0282,0.578,0,141.981
FRANCE,Le classico organisé,Le classico organisé,2021-11-05,76,0.828,0.878,-5.241,0.269,0.321,0,142.886
FRANCE,Platine o Plomo,Maes,2021-11-25,64,0.56,0.545,-6.596,0.269,0.0995,1.43e-06,138.005
FRANCE,Shonen,Orelsan,2021-11-19,75,0.76,0.647,-7.773,0.25,0.0919,0,143.104
FRANCE,Best life,Naps,2021-10-08,73,0.919,0.779,-4.739,0.147,0.258,0,138.038
FRANCE,TDB,OBOY,2021-09-10,70,0.882,0.675,-6.004,0.141,0.0474,0.000598,140.092
FRANCE,La kiffance,Naps,2021-04-02,75,0.805,0.637,-6.515,0.0869,0.228,0,140.045
FRANCE,Seul avec du monde autour,Orelsan,2021-11-19,74,0.721,0.733,-7.026,0.258,0.0273,0,77.045
FRANCE,Pepas,Farruko,2021-10-01,85,0.762,0.766,-3.955,0.0343,0.00776,6.98e-05,130.001
FRANCE,MAUVAIS 2X (feat. Ninho),Gazo,2021-11-19,72,0.736,0.666,-7.851,0.255,0.36,0,138.656
FRANCE,Casseurs Flowters Infinity,Orelsan,2021-11-19,74,0.811,0.768,-4.896,0.301,0.481,0,99.956
FRANCE,Mardi gras,Maes,2021-11-25,63,0.813,0.571,-5.743,0.0564,0.603,0,109.955
FRANCE,Cœur de pirate,Le classico organisé,2021-11-05,69,0.826,0.701,-5.596,0.0672,0.0765,0,117.991
FRANCE,Akimbo,Ziak,2021-11-11,70,0.807,0.755,-5.263,0.284,0.459,0,144.776
FRANCE,Rêve mieux,Orelsan,2021-11-19,73,0.59,0.437,-11.003,0.296,0.442,0,74.94
FRANCE,Baise le monde,Orelsan,2021-11-19,73,0.731,0.584,-7.707,0.387,0.0681,0,95.658
FRANCE,STAY (with Justin Bieber),The Kid LAROI,2021-07-23,92,0.591,0.764,-5.484,0.0483,0.0383,0,169.928
