Country,Title,Artist,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Tempo
GRECE,King Kong,Bossikan,2021-11-26,61,0.744,0.671,-8.652,0.387,0.312,0,140.0
GRECE,Daewoo 3,Bloody Hawk,2021-11-19,52,0.761,0.802,-5.973,0.312,0.24,0,94.057
GRECE,NASA,Rack,2021-08-20,55,0.774,0.735,-7.302,0.0674,0.297,0.00219,117.989
GRECE,Shorty,Light,2021-06-04,60,0.792,0.609,-8.128,0.148,0.0812,0,140.007
GRECE,TrapLife,FLY LO,2021-10-15,60,0.83,0.588,-9.076,0.37,0.289,0,140.091
GRECE,Latina,Leaderbrain,2021-08-06,60,0.642,0.592,-8.194,0.262,0.532,0.00462,66.769
GRECE,Badman,Mente Fuerte,2021-10-08,58,0.814,0.668,-8.823,0.149,0.428,6.03e-05,130.001
GRECE,Dominicana Latina,SNIK,2021-09-02,60,0.719,0.78,-5.897,0.327,0.71,1.97e-05,91.93
GRECE,Mporei,Mad Clip,2021-05-18,61,0.579,0.593,-6.369,0.25,0.135,0,100.967
GRECE,Wet,SNIK,2021-07-09,60,0.797,0.754,-4.346,0.0793,0.434,0.000205,100.044
GRECE,XCM (Xapiacocomayro),Bossikan,2021-06-11,58,0.735,0.758,-6.822,0.301,0.115,0,139.836
GRECE,Gia Dio,Stan,2021-09-22,59,0.469,0.585,-7.434,0.19,0.0647,0,68.029
GRECE,Pes Tou,Dirty Harry,2021-10-25,58,0.489,0.608,-7.118,0.123,0.608,5.83e-05,206.23
GRECE,Ku Je Ti,Finem,2021-09-18,61,0.721,0.804,-6.026,0.0999,0.388,1.23e-05,92.973
GRECE,COCO,Trannos,2021-05-21,59,0.931,0.638,-7.291,0.221,0.0558,0,120.054
GRECE,Full Press,Bossikan,2021-04-20,56,0.771,0.53,-11.731,0.526,0.391,0,143.115
GRECE,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-09-17,90,0.741,0.691,-7.395,0.0672,0.0221,0,150.087
GRECE,Kavatza / Kαβατζα,Diablo,2021-10-08,59,0.849,0.932,-6.76,0.294,0.522,0.055,142.959
GRECE,Funeral,Immune,2021-10-29,53,0.786,0.869,-7.372,0.343,0.166,0,141.941
GRECE,Cc,Light,2021-06-04,56,0.942,0.424,-7.64,0.0955,0.455,0,115.011
GRECE,Leyla,DJ.Silence,2021-07-22,58,0.528,0.46,-6.772,0.0987,0.283,3.66e-05,106.864
GRECE,Dale,Mente Fuerte,2021-07-14,58,0.78,0.599,-8.61,0.279,0.588,0.000145,91.005
GRECE,Easy On Me,Adele,2021-11-19,89,0.604,0.366,-7.519,0.0282,0.578,0,141.981
GRECE,Telika,Konstantinos Argiros,2021-09-17,59,0.612,0.631,-7.085,0.0349,0.455,2.73e-06,136.028
GRECE,Goodfella,Light,2021-06-04,56,0.544,0.819,-6.401,0.441,0.344,0,121.605
GRECE,Filakes,Strat,2020-07-17,56,0.64,0.639,-6.397,0.0669,0.149,0,167.864
GRECE,Prestige,Rack,2021-05-20,57,0.765,0.802,-7.624,0.0509,0.169,0.000448,115.053
GRECE,Checks,Saske,2021-07-30,57,0.922,0.424,-10.063,0.295,0.339,0,119.976
GRECE,XILIOMETRA,Mad Clip,2020-10-02,57,0.744,0.657,-6.451,0.0592,0.247,0,100.023
GRECE,Funky,Fy,2021-07-09,57,0.959,0.511,-5.822,0.0533,0.0754,0,114.979
GRECE,All I Want for Christmas Is You,Mariah Carey,1994-11-01,89,0.336,0.627,-7.463,0.0384,0.164,0,150.273
GRECE,BOCA,Strat,2021-11-25,46,0.672,0.659,-8.807,0.166,0.206,0,148.997
GRECE,Dokimase Ton,Saske,2021-04-07,57,0.618,0.687,-7.616,0.348,0.182,0.000958,120.058
GRECE,LUPIN,MG,2021-10-29,58,0.625,0.593,-9.415,0.338,0.361,0,97.207
GRECE,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,2021-10-28,93,0.728,0.783,-4.424,0.266,0.237,0,77.011
GRECE,Kokaina,TOQUEL,2021-05-14,57,0.536,0.675,-7.747,0.347,0.342,3.19e-05,92.94
