Country,Title,Artist,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Tempo
ITALIE,∞ LOVE (feat. Guè),Marracash,2021-11-19,79,0.726,0.828,-5.191,0.071,0.105,0,125.002
ITALIE,CRAZY LOVE,Marracash,2021-11-19,76,0.725,0.713,-5.958,0.0484,0.224,2.13e-05,123.003
ITALIE,NEMESI (feat. BLANCO),Marracash,2021-11-19,76,0.736,0.736,-7.597,0.0641,0.136,0.000345,120.02
ITALIE,Pastello Bianco,Pinguini Tattici Nucleari,2020-12-04,77,0.546,0.652,-3.852,0.0339,0.451,0,139.875
ITALIE,IO,Marracash,2021-11-19,75,0.733,0.595,-7.17,0.04,0.408,0,120.005
ITALIE,DUBBI,Marracash,2021-11-19,75,0.727,0.698,-9.676,0.365,0.57,0,92.915
ITALIE,KUMITE,Salmo,2021-10-01,79,0.816,0.711,-4.45,0.121,0.0614,0,140.062
ITALIE,SAPORE – with Tedua,Fedez,2021-11-26,63,0.76,0.692,-6.243,0.113,0.061,2.8e-06,125.041
ITALIE,MI FAI IMPAZZIRE,BLANCO,2021-06-17,79,0.477,0.844,-4.87,0.0458,0.00273,0,169.941
ITALIE,LORO,Marracash,2021-11-19,75,0.57,0.606,-6.731,0.193,0.408,7.13e-06,93.089
ITALIE,LAUREA AD HONOREM (feat. Calcutta),Marracash,2021-11-19,74,0.614,0.464,-8.473,0.0803,0.485,0,152.092
ITALIE,TU MI HAI CAPITO (feat. Sfera Ebbasta),Madame,2021-06-03,70,0.81,0.649,-6.11,0.0837,0.332,0,123.009
ITALIE,PAGLIACCIO,Marracash,2021-11-19,74,0.55,0.639,-6.387,0.216,0.314,0,130.845
ITALIE,Mi Piace (feat. Sfera Ebbasta),Tony Effe,2021-11-26,63,0.709,0.785,-5.497,0.0322,0.0447,3.17e-05,107.035
ITALIE,Pepas,Farruko,2021-10-01,85,0.762,0.766,-3.955,0.0343,0.00776,6.98e-05,130.001
ITALIE,NOI,Marracash,2021-11-19,73,0.492,0.518,-10.649,0.296,0.654,2.6e-05,93.944
ITALIE,COSPLAYER,Marracash,2021-11-19,74,0.546,0.796,-5.751,0.357,0.423,0,159.392
ITALIE,Notti In Bianco,BLANCO,2021-09-09,72,0.599,0.79,-3.242,0.0422,0.359,0,75.004
ITALIE,Blu Celeste,BLANCO,2021-09-09,77,0.688,0.442,-5.611,0.0354,0.921,0,116.463
ITALIE,GLI ALTRI (Giorni Stupidi),Marracash,2021-11-19,72,0.602,0.844,-3.903,0.142,0.0534,0,93.952
ITALIE,Come nelle canzoni,Coez,2021-11-05,73,0.537,0.814,-5.855,0.281,0.252,0,175.878
ITALIE,Paraocchi,BLANCO,2021-09-09,71,0.566,0.938,-4.387,0.0709,0.0136,0,143.126
ITALIE,Finché Non Mi Seppelliscono,BLANCO,2021-09-09,75,0.727,0.833,-2.594,0.0316,0.349,0,130.024
ITALIE,NUOVO RANGE (con SFERA EBBASTA),Rkomi,2021-04-29,76,0.68,0.76,-4.866,0.0556,0.233,0,82.54
ITALIE,Easy On Me,Adele,2021-11-19,89,0.604,0.366,-7.519,0.0282,0.578,0,141.981
ITALIE,MEGLIO DEL CINEMA,Fedez,2021-11-26,52,0.503,0.675,-4.445,0.146,0.166,0,153.563
ITALIE,La più bella,Mecna,2021-10-21,63,0.753,0.705,-5.393,0.114,0.371,1.61e-06,108.007
ITALIE,STAY (with Justin Bieber),The Kid LAROI,2021-07-23,92,0.591,0.764,-5.484,0.0483,0.0383,0,169.928
ITALIE,Cold Heart - PNAU Remix,Elton John,2021-10-22,86,0.795,0.8,-6.32,0.0309,0.0354,7.25e-05,116.032
ITALIE,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-09-17,90,0.741,0.691,-7.395,0.0672,0.0221,0,150.087
ITALIE,Quello che fa male,LDA,2021-10-11,74,0.712,0.567,-5.244,0.0779,0.494,0,143.818
ITALIE,CLIFFHANGER,Marracash,2021-11-19,72,0.657,0.848,-4.173,0.451,0.14,0,79.855
ITALIE,Do It To It,ACRAZE,2021-08-20,91,0.854,0.806,-8.262,0.0886,0.0209,0.0542,124.927
ITALIE,uNa DiReZioNe giUsTa,yungest Moonstar,2021-07-30,75,0.409,0.647,-7.698,0.212,0.303,0,196.426
ITALIE,Quanto ti vorrei,chiello,2021-10-14,67,0.476,0.711,-5.769,0.0336,0.00721,1.81e-06,185.996
ITALIE,abcdefu,GAYLE,2021-08-13,89,0.695,0.54,-5.692,0.0493,0.299,0,121.932
ITALIE,Angelina Jolie,Bresh,2021-03-12,74,0.681,0.691,-6.684,0.181,0.073,0,160.338
ITALIE,Shivers,Ed Sheeran,2021-10-29,93,0.788,0.859,-2.724,0.0856,0.281,0,141.02
ITALIE,Heat Waves,Glass Animals,2020-08-06,92,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,80.87
ITALIE,m%n,tha Supreme,2021-10-22,75,0.766,0.667,-4.668,0.053,0.522,0,128.62
