Country,Title,Artist,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Tempo
PORTUGAL,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-09-17,90,0.741,0.691,-7.395,0.0672,0.0221,0,150.087
PORTUGAL,Easy On Me,Adele,2021-11-19,89,0.604,0.366,-7.519,0.0282,0.578,0,141.981
PORTUGAL,Pepas,Farruko,2021-10-01,85,0.762,0.766,-3.955,0.0343,0.00776,6.98e-05,130.001
PORTUGAL,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",DJ Patrick Muniz,2021-09-28,85,0.863,0.701,-5.038,0.212,0.63,0.000583,129.911
PORTUGAL,MORENA,Luan Santana,2021-06-17,82,0.526,0.731,-4.662,0.0887,0.18,0,86.959
PORTUGAL,STAY (with Justin Bieber),The Kid LAROI,2021-07-23,92,0.591,0.764,-5.484,0.0483,0.0383,0,169.928
PORTUGAL,Heat Waves,Glass Animals,2020-08-06,92,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,80.87
PORTUGAL,GALOPA,PEDRO SAMPAIO,2021-09-16,86,0.763,0.85,-4.036,0.0409,0.285,0,150.009
PORTUGAL,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,2021-10-28,93,0.728,0.783,-4.424,0.266,0.237,0,77.011
PORTUGAL,love nwantiti (ah ah ah),CKay,2019-08-30,94,0.727,0.739,-3.805,0.0411,0.365,0.00137,93.005
PORTUGAL,Woman,Doja Cat,2021-06-25,95,0.824,0.764,-4.175,0.0854,0.0888,0.00294,107.998
PORTUGAL,All I Want for Christmas Is You,Mariah Carey,1994-11-01,89,0.336,0.627,-7.463,0.0384,0.164,0,150.273
PORTUGAL,Quer Voar,Matuê,2021-08-11,83,0.806,0.595,-6.166,0.246,0.138,0,82.492
PORTUGAL,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay,2021-09-09,93,0.579,0.596,-4.823,0.0561,0.436,0.0938,119.9
PORTUGAL,abcdefu,GAYLE,2021-08-13,89,0.695,0.54,-5.692,0.0493,0.299,0,121.932
PORTUGAL,Cold Heart - PNAU Remix,Elton John,2021-10-22,86,0.795,0.8,-6.32,0.0309,0.0354,7.25e-05,116.032
PORTUGAL,Do It To It,ACRAZE,2021-08-20,91,0.854,0.806,-8.262,0.0886,0.0209,0.0542,124.927
PORTUGAL,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,2021-09-16,68,0.87,0.523,-8.052,0.0602,0.433,2.07e-05,110.02
PORTUGAL,Bad Habits,Ed Sheeran,2021-10-29,90,0.807,0.893,-3.745,0.0347,0.0451,2.79e-05,126.011
PORTUGAL,Bala Love,Mc Anjim,2021-06-18,85,0.628,0.318,-8.887,0.0507,0.807,0.101,86.453
